2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20250925.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20251002.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20251009.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20251016.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20251023.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20251030.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20251106.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20251113.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20251120.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20251127.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20251204.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20251211.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20251218.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20251225.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260101.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260108.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260115.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260122.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260129.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260205.zip because it falls outside the requested filename date range
